,fake,profile_pic,sim_name_username_Full match,sim_name_username_No match,sim_name_username_Partial match,extern_url,private,ratio_numlen_username,ratio_numlen_fullname,len_desc,num_posts,num_followers,num_following
128,0,1,0.0,0.0,1.0,0,1,0.18,0.0,23,24,45,80
129,0,1,0.0,1.0,0.0,1,0,0.0,0.0,35,328,634,719
130,0,1,0.0,1.0,0.0,1,0,0.0,0.0,150,161,1383,7500
131,0,1,0.0,0.0,1.0,0,1,0.0,0.0,26,280,650,703
132,0,1,0.0,0.0,1.0,0,1,0.0,0.0,149,92,484,3296
133,0,1,0.0,0.0,1.0,0,0,0.0,0.0,129,31,200,270
134,0,1,0.0,1.0,0.0,0,0,0.0,0.0,0,0,192,65
135,0,1,0.0,0.0,1.0,0,1,0.0,0.0,18,25,553,610
136,0,1,0.0,0.0,1.0,1,0,0.0,0.0,74,921,27477,7202
137,0,1,0.0,1.0,0.0,1,1,0.0,0.0,0,1020,464,1039
138,0,1,0.0,0.0,1.0,0,0,0.0,0.0,59,301,1057,524
139,0,1,0.0,1.0,0.0,0,0,0.0,0.0,148,9,413,138
140,0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,158,389,806
141,0,1,0.0,1.0,0.0,0,0,0.29,0.0,15,43,505,503
142,0,1,0.0,0.0,1.0,0,1,0.0,0.0,46,24,941,1208
143,0,1,0.0,0.0,1.0,0,1,0.0,0.0,5,60,2598,802
144,0,1,0.0,0.0,1.0,0,0,0.0,0.0,98,4,59,111
145,0,1,0.0,1.0,0.0,0,0,0.0,0.0,55,220,622,475
146,0,1,0.0,0.0,1.0,1,0,0.0,0.0,19,1159,2719,1061
147,0,1,0.0,0.0,1.0,0,0,0.36,0.0,71,8,216,305
148,0,1,0.0,0.0,1.0,0,0,0.22,0.0,133,396,881,375
149,0,1,0.0,0.0,1.0,1,0,0.08,0.0,150,38,870,72
150,0,1,0.0,1.0,0.0,0,1,0.0,0.0,43,1,265,371
151,0,1,0.0,0.0,1.0,0,1,0.15,0.0,37,2,1204,633
152,0,1,0.0,1.0,0.0,0,1,0.0,0.0,35,43,655,1016
153,0,1,0.0,0.0,1.0,0,0,0.0,0.0,87,131,1662,1065
154,0,1,0.0,0.0,1.0,0,0,0.14,0.0,59,7,14222,7399
155,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,57,483,1216
156,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,36,1204,2928
157,0,1,0.0,0.0,1.0,0,1,0.0,0.0,9,91,408,635
158,0,1,0.0,0.0,1.0,0,1,0.0,0.0,12,8,303,417
